file,current responsibility,semantic concepts touched,inputs,outputs,downstream callers,tests,modification likely required for any semantic repair,confidence
pipeline/resolve/to_kb.py,resolve records into entities/cases/series/assertions; mint all scientific identity,"ExperimentCase, Measurement, Sample(proxy), Representation, Series, Material, Geometry, Conditions","records.json, figure_data.json, scout.json, card.json, geometry.json, document.md","resolved/{entities,experiments,series,assertions,results}.json","build_canonical (context), build_kg, build_core_kg, twin, geometry.tag_experiments","test_stage0_regression, test_granularity_and_axes, test_extraction_coverage",YES - every identity site is here,high
pipeline/canonical/entities.py,11-way entity classification; CLASS_MODEL/ENTITY_CLASS tables; SAMPLE_ID/SAMPLE_LIST regexes,"ExperimentCase, Measurement, Simulation, Representation, Sample evidence","ctx dict, methods text",classification + confidence + signals + supported_setting_count,to_kb.resolve_source_entities,test_stage0_regression,YES - CLASS_MODEL decides is_experiment and case count,high
pipeline/canonical/granularity.py,classify sweep vs scan vs profile vs trace,ExperimentCase multiplicity,"x_role, source_kind, caption, methods, body, labels, n_points",granularity_kind + evidence,to_kb,test_granularity_and_axes,LIKELY - it is the second gate on case count,high
pipeline/canonical/conditions.py,assertion extraction + scope binding,"Conditions, condition role",caption/body/methods/tables text,"assertion dicts, bound/ambiguous","to_kb, build_kg","test_context, test_semantics",LIKELY - the only place a condition role could be created,high
pipeline/canonical/chemistry_scope.py,material evidence ladder,"Material, material role","series label, caption, panel clause, scout note, body, materials list",material + scope_level + evidence + candidates,to_kb,"test_m2_chemistry, test_chemistry_params",LIKELY - the ladder is where a role would be decided,high
pipeline/canonical/series_identity.py,measured vs calculated per panel; fit_of,"Simulation provenance, Fit","series labels, caption, figure source flag",kind/confidence/evidence/fit_of,to_kb,test_figure_provenance,POSSIBLY - preservation target,medium
pipeline/canonical/axis_roles.py,"axis semantics (role, canonical quantity)",Conditions vs coordinates,"raw label, quantity, unit, caption, context",x/y semantics + axis_role,"to_kb, granularity",test_granularity_and_axes,POSSIBLY - axis_role already separates measurement coordinates,medium
pipeline/text/geometry.py,paper geometry classification; tag_experiments stamps it,Geometry level,"document.md, geometry_classes.yaml",geometry.json; rewrites resolved/experiments.json,"twin, core KG",YES - tag_experiments is the paper-level stamp,high
pipeline/canonical/build_canonical.py,canonical curve rows + curve_id,"ResultSeries, provenance","figure_data slices, resolved experiments",canonical/curves.json,"build_kg, build_core_kg, validate, release audit",PROBABLY NOT - curve_id is source-anchored and independent,high
pipeline/canonical/sources.py,enumerate source curves; context pool,"ResultSeries, Conditions","figure_data.json, resolved","curve records, context pool",build_canonical,PROBABLY NOT,medium
pipeline/canonical/validate.py,canonical invariants,provenance preservation,curves.json,validation report,release audit,PROBABLY NOT,medium
pipeline/review/build_kg.py,full onto KG,every scientific concept,resolved + canonical,knowledge_graph_onto.json,"viewers, reports",YES if new node classes appear - _ENTITY_NODE is closed,high
pipeline/review/build_core_kg.py,core KG; parses entity_key positionally,"ExperimentCase, ResultSeries, Material, Geometry",resolved + canonical,"knowledge_graph_core_{flat,series}.json",viewers,YES - L112 and L123 parse id string formats,high
pipeline/resolve/recipe.py,Recipe from controlled conditions + completeness,Conditions,case controlled list,recipe dict,"to_kb, twin, reports",POSSIBLY - it consumes all conditions undifferentiated,medium
pipeline/resolve/kb_service.py,serve resolved entities to consumers,"ExperimentCase, Geometry",resolved,service dicts,reports,POSSIBLY,low
pipeline/canonical/similarity.py,condition/curve/derived similarity,"Conditions, ExperimentCase",resolved + canonical,similarity matrices,dashboard,POSSIBLY - pairwise over Experiments,medium
pipeline/figures/inventory.py,figure provenance + dispositions,source figure/panel,docling artifacts,inventory.json,"scout, figure_extract","NO - frozen, upstream of resolve",high
pipeline/figures/figure_extract.py,vision extraction; panel_source_for,measured/simulated provenance,scout + crops,"figure_data.json, records.json",resolve,NO - frozen preservation target,high
pipeline/scout/scout.py,figure relevance + paper materials,Material candidates,"document.md, inventory",scout.json,"resolve, chemistry_scope",NO unless material roles need new extraction,medium
ontology/ald_ontology.yaml + build_ontology.py,class/relation/quantity declarations,all,yaml sources,ald_ontology.json,everything,YES if role vocabularies are added,high
ontology/vocab.py,"canon_quantity, recipe_role, family, species props",Conditions,compiled ontology,lookups,"to_kb, canonical",POSSIBLY - recipe_role lives here,medium
pipeline/canonical/schema.py,SCOPE_ORDER + ontology-validated vocabularies,Conditions scope,compiled ontology,constants; raises on missing vocab,canonical layer,POSSIBLY - SCOPE_ORDER is a closed list,medium
twin/twin_validation.py,"candidate ensemble, commensurability","ExperimentCase, Geometry",resolved/experiments.json,validation report,reports,YES - reads Experiment rows as cases,high
twin/m2_design.py,design/recipe search,"ExperimentCase, Geometry, Conditions",resolved,design report,reports,POSSIBLY,medium
scripts/validate_granularity.py,orphan check on case/event ids,Sample proxy,resolved,report,-,POSSIBLY,medium
"pipeline/review/build_analysis.py, build_dashboard.py, corpus_dashboard.py, build_recipes.py, corpus_status.py",reports and dashboards,counts of Experiments,resolved + canonical,HTML,users,LIKELY - headline counts change meaning,medium
